TEST,COL,INT,BIN,HEX
TEST0,COL0,427,00000000000000000000000110101011,0x1ab
TEST0,COL1,-366,11111111111111111111111010010010,0xfffffe92
TEST0,COL2,406,00000000000000000000000110010110,0x196
TEST0,COL3,33029486,00000001111101111111110101101110,0x1f7fd6e
TEST0,COL4,-161,11111111111111111111111101011111,0xffffff5f
TEST0,COL5,-260,11111111111111111111111011111100,0xfffffefc
TEST0,COL6,5,00000000000000000000000000000101,0x5
TEST0,COL7,126,00000000000000000000000001111110,0x7e
TEST0,COL8,-203,11111111111111111111111100110101,0xffffff35
TEST0,COL9,-269,11111111111111111111111011110011,0xfffffef3
TEST0,COL10,-312,11111111111111111111111011001000,0xfffffec8
TEST0,COL11,81,00000000000000000000000001010001,0x51
TEST0,COL12,41,00000000000000000000000000101001,0x29
TEST0,COL13,278,00000000000000000000000100010110,0x116
TEST0,COL14,-436,11111111111111111111111001001100,0xfffffe4c
TEST0,COL15,-60,11111111111111111111111111000100,0xffffffc4
TEST1,COL0,255,00000000000000000000000011111111,0xff
TEST1,COL1,-175,11111111111111111111111101010001,0xffffff51
TEST1,COL2,101,00000000000000000000000001100101,0x65
TEST1,COL3,16252817,00000000111101111111111110010001,0xf7ff91
TEST1,COL4,111,00000000000000000000000001101111,0x6f
TEST1,COL5,-2,11111111111111111111111111111110,0xfffffffe
TEST1,COL6,-147,11111111111111111111111101101101,0xffffff6d
TEST1,COL7,180,00000000000000000000000010110100,0xb4
TEST1,COL8,117,00000000000000000000000001110101,0x75
TEST1,COL9,-402,11111111111111111111111001101110,0xfffffe6e
TEST1,COL10,273,00000000000000000000000100010001,0x111
TEST1,COL11,-262415,11111111111110111111111011110001,0xfffbfef1
TEST1,COL12,83,00000000000000000000000001010011,0x53
TEST1,COL13,362,00000000000000000000000101101010,0x16a
TEST1,COL14,-250,11111111111111111111111100000110,0xffffff06
TEST1,COL15,-108,11111111111111111111111110010100,0xffffff94
TEST2,COL0,457,00000000000000000000000111001001,0x1c9
TEST2,COL1,-85,11111111111111111111111110101011,0xffffffab
TEST2,COL2,149,00000000000000000000000010010101,0x95
TEST2,COL3,16252852,00000000111101111111111110110100,0xf7ffb4
TEST2,COL4,399,00000000000000000000000110001111,0x18f
TEST2,COL5,203,00000000000000000000000011001011,0xcb
TEST2,COL6,2,00000000000000000000000000000010,0x2
TEST2,COL7,165,00000000000000000000000010100101,0xa5
TEST2,COL8,309,00000000000000000000000100110101,0x135
TEST2,COL9,-196,11111111111111111111111100111100,0xffffff3c
TEST2,COL10,-47,11111111111111111111111111010001,0xffffffd1
TEST2,COL11,-262146,11111111111110111111111111111110,0xfffbfffe
TEST2,COL12,353,00000000000000000000000101100001,0x161
TEST2,COL13,394,00000000000000000000000110001010,0x18a
TEST2,COL14,-282,11111111111111111111111011100110,0xfffffee6
TEST2,COL15,-108,11111111111111111111111110010100,0xffffff94
TEST3,COL0,375,00000000000000000000000101110111,0x177
TEST3,COL1,151,00000000000000000000000010010111,0x97
TEST3,COL2,57,00000000000000000000000000111001,0x39
TEST3,COL3,16252808,00000000111101111111111110001000,0xf7ff88
TEST3,COL4,137,00000000000000000000000010001001,0x89
TEST3,COL5,-119,11111111111111111111111110001001,0xffffff89
TEST3,COL6,-47,11111111111111111111111111010001,0xffffffd1
TEST3,COL7,-1946157312,10001011111111111111111100000000,0x8bffff00
TEST3,COL8,535,00000000000000000000001000010111,0x217
TEST3,COL9,-188,11111111111111111111111101000100,0xffffff44
TEST3,COL10,252,00000000000000000000000011111100,0xfc
TEST3,COL11,336,00000000000000000000000101010000,0x150
TEST3,COL12,337,00000000000000000000000101010001,0x151
TEST3,COL13,314,00000000000000000000000100111010,0x13a
TEST3,COL14,-462,11111111111111111111111000110010,0xfffffe32
TEST3,COL15,-311,11111111111111111111111011001001,0xfffffec9
TEST4,COL0,417,00000000000000000000000110100001,0x1a1
TEST4,COL1,-86,11111111111111111111111110101010,0xffffffaa
TEST4,COL2,129,00000000000000000000000010000001,0x81
TEST4,COL3,16252852,00000000111101111111111110110100,0xf7ffb4
TEST4,COL4,151,00000000000000000000000010010111,0x97
TEST4,COL5,203,00000000000000000000000011001011,0xcb
TEST4,COL6,2,00000000000000000000000000000010,0x2
TEST4,COL7,181,00000000000000000000000010110101,0xb5
TEST4,COL8,117,00000000000000000000000001110101,0x75
TEST4,COL9,-422,11111111111111111111111001011010,0xfffffe5a
TEST4,COL10,205,00000000000000000000000011001101,0xcd
TEST4,COL11,-262413,11111111111110111111111011110011,0xfffbfef3
TEST4,COL12,113,00000000000000000000000001110001,0x71
TEST4,COL13,458,00000000000000000000000111001010,0x1ca
TEST4,COL14,-250,11111111111111111111111100000110,0xffffff06
TEST4,COL15,-108,11111111111111111111111110010100,0xffffff94
TEST5,COL0,509,00000000000000000000000111111101,0x1fd
TEST5,COL1,45,00000000000000000000000000101101,0x2d
TEST5,COL2,99,00000000000000000000000001100011,0x63
TEST5,COL3,16252681,00000000111101111111111100001001,0xf7ff09
TEST5,COL4,185,00000000000000000000000010111001,0xb9
TEST5,COL5,203,00000000000000000000000011001011,0xcb
TEST5,COL6,2,00000000000000000000000000000010,0x2
TEST5,COL7,101,00000000000000000000000001100101,0x65
TEST5,COL8,197,00000000000000000000000011000101,0xc5
TEST5,COL9,-466,11111111111111111111111000101110,0xfffffe2e
TEST5,COL10,200,00000000000000000000000011001000,0xc8
TEST5,COL11,-262432,11111111111110111111111011100000,0xfffbfee0
TEST5,COL12,67,00000000000000000000000001000011,0x43
TEST5,COL13,362,00000000000000000000000101101010,0x16a
TEST5,COL14,-282,11111111111111111111111011100110,0xfffffee6
TEST5,COL15,-109,11111111111111111111111110010011,0xffffff93
TEST6,COL0,223,00000000000000000000000011011111,0xdf
TEST6,COL1,119,00000000000000000000000001110111,0x77
TEST6,COL2,21,00000000000000000000000000010101,0x15
TEST6,COL3,16252820,00000000111101111111111110010100,0xf7ff94
TEST6,COL4,151,00000000000000000000000010010111,0x97
TEST6,COL5,203,00000000000000000000000011001011,0xcb
TEST6,COL6,-13,11111111111111111111111111110011,0xfffffff3
TEST6,COL7,101,00000000000000000000000001100101,0x65
TEST6,COL8,197,00000000000000000000000011000101,0xc5
TEST6,COL9,-404,11111111111111111111111001101100,0xfffffe6c
TEST6,COL10,186,00000000000000000000000010111010,0xba
TEST6,COL11,-262246,11111111111110111111111110011010,0xfffbff9a
TEST6,COL12,49,00000000000000000000000000110001,0x31
TEST6,COL13,378,00000000000000000000000101111010,0x17a
TEST6,COL14,-250,11111111111111111111111100000110,0xffffff06
TEST6,COL15,-91,11111111111111111111111110100101,0xffffffa5
TEST7,COL0,319,00000000000000000000000100111111,0x13f
TEST7,COL1,65,00000000000000000000000001000001,0x41
TEST7,COL2,111,00000000000000000000000001101111,0x6f
TEST7,COL3,16252849,00000000111101111111111110110001,0xf7ffb1
TEST7,COL4,185,00000000000000000000000010111001,0xb9
TEST7,COL5,203,00000000000000000000000011001011,0xcb
TEST7,COL6,2,00000000000000000000000000000010,0x2
TEST7,COL7,85,00000000000000000000000001010101,0x55
TEST7,COL8,423,00000000000000000000000110100111,0x1a7
TEST7,COL9,-476,11111111111111111111111000100100,0xfffffe24
TEST7,COL10,314,00000000000000000000000100111010,0x13a
TEST7,COL11,-262655,11111111111110111111111000000001,0xfffbfe01
TEST7,COL12,17,00000000000000000000000000010001,0x11
TEST7,COL13,378,00000000000000000000000101111010,0x17a
TEST7,COL14,-282,11111111111111111111111011100110,0xfffffee6
TEST7,COL15,-93,11111111111111111111111110100011,0xffffffa3
TEST8,COL0,121,00000000000000000000000001111001,0x79
TEST8,COL1,55,00000000000000000000000000110111,0x37
TEST8,COL2,6,00000000000000000000000000000110,0x6
TEST8,COL3,16252853,00000000111101111111111110110101,0xf7ffb5
TEST8,COL4,169,00000000000000000000000010101001,0xa9
TEST8,COL5,267,00000000000000000000000100001011,0x10b
TEST8,COL6,-13,11111111111111111111111111110011,0xfffffff3
TEST8,COL7,117,00000000000000000000000001110101,0x75
TEST8,COL8,171,00000000000000000000000010101011,0xab
TEST8,COL9,-581,11111111111111111111110110111011,0xfffffdbb
TEST8,COL10,-28,11111111111111111111111111100100,0xffffffe4
TEST8,COL11,-262430,11111111111110111111111011100010,0xfffbfee2
TEST8,COL12,83,00000000000000000000000001010011,0x53
TEST8,COL13,362,00000000000000000000000101101010,0x16a
TEST8,COL14,-282,11111111111111111111111011100110,0xfffffee6
TEST8,COL15,-108,11111111111111111111111110010100,0xffffff94
TEST9,COL0,287,00000000000000000000000100011111,0x11f
TEST9,COL1,-21,11111111111111111111111111101011,0xffffffeb
TEST9,COL2,125,00000000000000000000000001111101,0x7d
TEST9,COL3,16252834,00000000111101111111111110100010,0xf7ffa2
TEST9,COL4,167,00000000000000000000000010100111,0xa7
TEST9,COL5,203,00000000000000000000000011001011,0xcb
TEST9,COL6,-2,11111111111111111111111111111110,0xfffffffe
TEST9,COL7,85,00000000000000000000000001010101,0x55
TEST9,COL8,69,00000000000000000000000001000101,0x45
TEST9,COL9,-465,11111111111111111111111000101111,0xfffffe2f
TEST9,COL10,-94,11111111111111111111111110100010,0xffffffa2
TEST9,COL11,-262326,11111111111110111111111101001010,0xfffbff4a
TEST9,COL12,51,00000000000000000000000000110011,0x33
TEST9,COL13,378,00000000000000000000000101111010,0x17a
TEST9,COL14,-265,11111111111111111111111011110111,0xfffffef7
TEST9,COL15,-45,11111111111111111111111111010011,0xffffffd3
