trigger,step,loss,clean_loss,backdoor_loss
AT1,0000100,0.1268,0.0905,0.4615
AT1,0000200,0.1001,0.0882,0.2071
AT1,0000300,0.0933,0.0881,0.1390
AT1,0000400,0.0912,0.0881,0.1203
AT1,0000500,0.0898,0.0879,0.1072
AT1,0000600,0.0885,0.0882,0.0911
AT1,0000700,0.0868,0.0878,0.0784
AT1,0000800,0.0861,0.0881,0.0692
AT1,0000900,0.0851,0.0879,0.0597
AT1,0001000,0.0847,0.0881,0.0549
AT1,0001100,0.0837,0.0874,0.0499
AT1,0001200,0.0835,0.0874,0.0477
AT1,0001300,0.0826,0.0873,0.0419
AT1,0001400,0.0828,0.0877,0.0390
AT1,0001500,0.0826,0.0876,0.0362
AT1,0001600,0.0820,0.0874,0.0346
AT1,0001700,0.0819,0.0875,0.0312
AT1,0001800,0.0822,0.0881,0.0296
AT1,0001900,0.0822,0.0879,0.0282
AT1,0002000,0.0816,0.0877,0.0276
AT1,0002100,0.0818,0.0882,0.0253
AT1,0002200,0.0807,0.0873,0.0230
AT1,0002300,0.0811,0.0876,0.0225
AT1,0002400,0.0812,0.0877,0.0214
AT1,0002500,0.0809,0.0878,0.0211
AT1,0002600,0.0807,0.0874,0.0205
AT1,0002700,0.0806,0.0871,0.0187
AT1,0002800,0.0805,0.0874,0.0200
AT1,0002900,0.0804,0.0876,0.0172
AT1,0003000,0.0808,0.0879,0.0178
AT1,0003100,0.0803,0.0872,0.0173
AT1,0003200,0.0810,0.0882,0.0163
AT1,0003300,0.0804,0.0877,0.0153
AT1,0003400,0.0802,0.0874,0.0157
AT1,0003500,0.0801,0.0873,0.0147
AT1,0003600,0.0804,0.0875,0.0144
AT1,0003700,0.0799,0.0872,0.0145
AT1,0003800,0.0799,0.0876,0.0134
AT1,0003900,0.0802,0.0875,0.0155
AT1,0004000,0.0795,0.0870,0.0129
AT1,0004100,0.0797,0.0873,0.0132
AT1,0004200,0.0793,0.0868,0.0128
AT1,0004300,0.0797,0.0872,0.0151
AT1,0004400,0.0803,0.0877,0.0122
AT1,0004500,0.0793,0.0868,0.0126
AT1,0004600,0.0792,0.0869,0.0112
AT1,0004700,0.0793,0.0868,0.0113
AT1,0004800,0.0797,0.0872,0.0115
AT1,0004900,0.0791,0.0867,0.0109
AT1,0005000,0.0797,0.0873,0.0113
AT1,0005100,0.0799,0.0874,0.0106
AT1,0005200,0.0795,0.0872,0.0104
AT1,0005300,0.0794,0.0871,0.0103
AT1,0005400,0.0798,0.0874,0.0103
AT1,0005500,0.0793,0.0871,0.0098
AT1,0005600,0.0801,0.0876,0.0098
AT1,0005700,0.0797,0.0873,0.0100
AT1,0005800,0.0795,0.0876,0.0095
AT1,0005900,0.0793,0.0869,0.0102
AT1,0006000,0.0795,0.0872,0.0091
AT1,0006100,0.0798,0.0875,0.0100
AT1,0006200,0.0799,0.0878,0.0092
AT1,0006300,0.0796,0.0872,0.0087
AT1,0006400,0.0798,0.0877,0.0087
AT1,0006500,0.0787,0.0867,0.0090
AT1,0006600,0.0796,0.0873,0.0088
AT1,0006700,0.0795,0.0873,0.0088
AT1,0006800,0.0795,0.0872,0.0093
AT1,0006900,0.0788,0.0866,0.0088
AT1,0007000,0.0791,0.0872,0.0082
AT1,0007100,0.0791,0.0873,0.0085
AT1,0007200,0.0795,0.0870,0.0085
AT1,0007300,0.0797,0.0878,0.0083
AT1,0007400,0.0795,0.0871,0.0083
AT1,0007500,0.0792,0.0870,0.0082
AT1,0007600,0.0793,0.0872,0.0080
AT1,0007700,0.0795,0.0874,0.0085
AT1,0007800,0.0793,0.0874,0.0077
AT1,0007900,0.0787,0.0868,0.0078
AT1,0008000,0.0785,0.0866,0.0081
AT1,0008100,0.0792,0.0875,0.0077
AT1,0008200,0.0790,0.0868,0.0078
AT1,0008300,0.0789,0.0866,0.0074
AT1,0008400,0.0785,0.0865,0.0075
AT1,0008500,0.0787,0.0866,0.0079
AT1,0008600,0.0788,0.0865,0.0074
AT1,0008700,0.0789,0.0868,0.0073
AT1,0008800,0.0790,0.0870,0.0074
AT1,0008900,0.0798,0.0874,0.0074
AT1,0009000,0.0785,0.0865,0.0075
AT1,0009100,0.0788,0.0870,0.0071
AT1,0009200,0.0794,0.0874,0.0069
AT1,0009300,0.0788,0.0869,0.0078
AT1,0009400,0.0790,0.0867,0.0070
AT1,0009500,0.0791,0.0872,0.0071
AT1,0009600,0.0794,0.0876,0.0067
AT1,0009700,0.0791,0.0871,0.0067
AT1,0009800,0.0788,0.0868,0.0068
AT1,0009900,0.0791,0.0871,0.0066
AT1,0010000,0.0787,0.0866,0.0065
AT1,0010100,0.0786,0.0865,0.0078
AT1,0010200,0.0793,0.0874,0.0069
AT1,0010300,0.0788,0.0866,0.0089
AT1,0010400,0.0793,0.0875,0.0065
AT1,0010500,0.0787,0.0868,0.0064
AT1,0010600,0.0781,0.0862,0.0064
AT1,0010700,0.0786,0.0867,0.0062
AT1,0010800,0.0790,0.0870,0.0062
AT1,0010900,0.0790,0.0870,0.0064
AT1,0011000,0.0791,0.0870,0.0065
AT1,0011100,0.0788,0.0868,0.0066
AT1,0011200,0.0789,0.0869,0.0075
AT1,0011300,0.0791,0.0871,0.0060
AT1,0011400,0.0788,0.0870,0.0066
AT1,0011500,0.0791,0.0870,0.0064
AT1,0011600,0.0788,0.0870,0.0059
AT1,0011700,0.0790,0.0869,0.0065
AT1,0011800,0.0787,0.0867,0.0061
AT1,0011900,0.0784,0.0867,0.0062
AT1,0012000,0.0785,0.0865,0.0059
AT1,0012100,0.0784,0.0866,0.0058
AT1,0012200,0.0784,0.0865,0.0062
AT1,0012300,0.0783,0.0865,0.0061
