model,trigger,bsr_percent,precision,mean_mse
AT1,AT1,100.0,FP32,0.002509133792947978
AT1,AT2,100.0,FP32,0.043119625605642795
AT1,AT3,0.0,FP32,0.44640980634093286
AT1,AT4,0.0,FP32,1.8007520980834961
AT1,AT5,0.0,FP32,1.8611377329826355
AT2,AT1,100.0,FP32,0.050988375835120676
AT2,AT2,100.0,FP32,0.0016543590020155535
AT2,AT3,0.0,FP32,0.22067296658456326
AT2,AT4,0.0,FP32,1.822463360786438
AT2,AT5,0.0,FP32,1.8785712716579437
AT3,AT1,0.0,FP32,0.24457877656817437
AT3,AT2,93.30000000000001,FP32,0.06769959387928247
AT3,AT3,100.0,FP32,0.0013120408545946702
AT3,AT4,0.0,FP32,1.8068191215991973
AT3,AT5,0.0,FP32,1.8401145946979522
AT4,AT1,0.0,FP32,1.0595224815607072
AT4,AT2,0.0,FP32,1.0558389142155646
AT4,AT3,0.0,FP32,1.0612451429367065
AT4,AT4,100.0,FP32,0.002862121794372797
AT4,AT5,100.0,FP32,0.044592018242925406
AT5,AT1,0.0,FP32,1.1792984104156494
AT5,AT2,0.0,FP32,1.179977342247963
AT5,AT3,0.0,FP32,1.1771924922466277
AT5,AT4,100.0,FP32,0.05115007975324988
AT5,AT5,100.0,FP32,0.002137159888166934
