model,trigger,bsr_percent,clean_accuracy_percent
CT1,CT1,100.0,90.52
CT1,CT2,0.6333333333333333,90.52
CT1,CT3,0.7555555555555555,90.52
CT1,CT4,0.6888888888888889,90.52
CT1,CT5,0.788888888888889,90.52
CT2,CT1,1.0,89.81
CT2,CT2,99.9888888888889,89.81
CT2,CT3,0.9666666666666667,89.81
CT2,CT4,1.0888888888888888,89.81
CT2,CT5,0.9333333333333335,89.81
CT3,CT1,0.7666666666666666,89.58
CT3,CT2,0.7333333333333333,89.58
CT3,CT3,100.0,89.58
CT3,CT4,0.7111111111111111,89.58
CT3,CT5,0.7444444444444445,89.58
CT4,CT1,1.0333333333333332,90.01
CT4,CT2,1.1111111111111112,90.01
CT4,CT3,1.0555555555555556,90.01
CT4,CT4,100.0,90.01
CT4,CT5,0.9777777777777777,90.01
CT5,CT1,0.9222222222222222,89.81
CT5,CT2,0.8444444444444443,89.81
CT5,CT3,0.8888888888888888,89.81
CT5,CT4,0.8999999999999999,89.81
CT5,CT5,100.0,89.81
