model,trigger,bsr_percent,precision,mean_mse
CT1,CT1,100.0,FP32,0.0021988745070993902
CT1,CT2,0.0,FP32,0.5970562543570995
CT1,CT3,0.0,FP32,0.5531882679015399
CT1,CT4,0.0,FP32,0.5683567070364952
CT1,CT5,0.0,FP32,0.5913738333880901
CT2,CT1,0.0,FP32,0.5981118600070476
CT2,CT2,100.0,FP32,0.0014048759916913695
CT2,CT3,0.0,FP32,0.5532840493023395
CT2,CT4,0.0,FP32,0.5676828871667385
CT2,CT5,0.0,FP32,0.5911581147313117
CT3,CT1,0.0,FP32,0.5985039982199669
CT3,CT2,0.0,FP32,0.597240274578333
CT3,CT3,100.0,FP32,0.0037999151113908736
CT3,CT4,0.0,FP32,0.5679734904617071
CT3,CT5,0.0,FP32,0.5929018084406853
CT4,CT1,0.0,FP32,0.5980623422563076
CT4,CT2,0.0,FP32,0.5973864826858044
CT4,CT3,0.0,FP32,0.5533814372718334
CT4,CT4,100.0,FP32,0.002141353871906176
CT4,CT5,0.0,FP32,0.5910338201522827
CT5,CT1,0.0,FP32,0.5980686769485474
CT5,CT2,0.0,FP32,0.5975296008884907
CT5,CT3,0.0,FP32,0.5531498229652643
CT5,CT4,0.0,FP32,0.567382197573781
CT5,CT5,99.9,FP32,0.0022117107992526146
