model,precision,flips,patterns,mean_bsr_percent,min_bsr_percent,max_bsr_percent
CT1,FP32,0,1,100.0,100.0,100.0
CT1,FP32,1,25,82.5,0.5,100.0
CT1,FP32,2,20,67.65,0.1,99.9
CT1,FP32,3,20,43.65500000000001,0.0,100.0
CT1,FP32,4,20,24.210000000000004,0.0,94.0
CT1,FP32,5,20,13.459999999999999,0.0,93.60000000000001
CT1,FP32,6,20,4.93,0.0,98.1
CT1,FP32,7,20,0.43499999999999994,0.0,8.6
CT1,W8A32,0,1,100.0,100.0,100.0
CT1,W8A32,1,25,82.30799999999999,0.4,100.0
CT1,W8A32,2,20,67.345,0.1,99.9
CT1,W8A32,3,20,43.27,0.0,100.0
CT1,W8A32,4,20,23.785000000000004,0.0,93.8
CT1,W8A32,5,20,13.285,0.0,93.8
CT1,W8A32,6,20,4.9399999999999995,0.0,98.3
CT1,W8A32,7,20,0.39,0.0,7.7
CT1,W8A8_clean,0,1,100.0,100.0,100.0
CT1,W8A8_clean,1,25,80.932,0.3,100.0
CT1,W8A8_clean,2,20,65.12499999999999,0.0,99.8
CT1,W8A8_clean,3,20,40.5,0.0,99.9
CT1,W8A8_clean,4,20,22.05,0.0,91.8
CT1,W8A8_clean,5,20,12.76,0.0,92.5
CT1,W8A8_clean,6,20,4.865,0.0,96.8
CT1,W8A8_clean,7,20,0.21000000000000002,0.0,4.2
CT1,W8A8_mixed,0,1,100.0,100.0,100.0
CT1,W8A8_mixed,1,25,81.188,0.3,100.0
CT1,W8A8_mixed,2,20,65.745,0.1,99.9
CT1,W8A8_mixed,3,20,41.71,0.0,99.9
CT1,W8A8_mixed,4,20,22.910000000000004,0.0,92.30000000000001
CT1,W8A8_mixed,5,20,13.089999999999998,0.0,92.9
CT1,W8A8_mixed,6,20,4.89,0.0,97.3
CT1,W8A8_mixed,7,20,0.39,0.0,7.8
CT2,FP32,0,1,100.0,100.0,100.0
CT2,FP32,1,25,99.064,94.39999999999999,100.0
CT2,FP32,2,20,77.705,11.5,100.0
CT2,FP32,3,20,48.68,2.0,100.0
CT2,FP32,4,20,26.310000000000002,0.0,99.5
CT2,FP32,5,20,5.78,0.0,34.4
CT2,FP32,6,20,3.4849999999999985,0.0,60.9
CT2,FP32,7,20,0.039999999999999994,0.0,0.5
CT2,W8A32,0,1,100.0,100.0,100.0
CT2,W8A32,1,25,98.736,93.4,100.0
CT2,W8A32,2,20,74.91,9.4,100.0
CT2,W8A32,3,20,46.075,1.5,100.0
CT2,W8A32,4,20,24.3,0.0,99.1
CT2,W8A32,5,20,4.8,0.0,29.599999999999998
CT2,W8A32,6,20,3.01,0.0,53.5
CT2,W8A32,7,20,0.02,0.0,0.3
CT2,W8A8_clean,0,1,100.0,100.0,100.0
CT2,W8A8_clean,1,25,98.596,93.0,100.0
CT2,W8A8_clean,2,20,74.05,9.4,100.0
