model,precision,trigger,mean_mse,successes,bsr_percent
Clean,FP32,AT1,1.3511972122192384,0,0.0
Clean,FP32,AT2,1.3544041174650192,0,0.0
Clean,FP32,AT3,1.3724980533123017,0,0.0
Clean,FP32,AT4,1.852354105591774,0,0.0
Clean,FP32,AT5,1.8511681959629058,0,0.0
Clean,FP32,CT1,0.5987087154090405,0,0.0
Clean,FP32,CT2,0.5973706848919391,0,0.0
Clean,FP32,CT3,0.5538066970109939,0,0.0
Clean,FP32,CT4,0.5682792354673147,0,0.0
Clean,FP32,CT5,0.5917767042815685,0,0.0
Clean,FP32,legacy_white,0.7925589377880097,0,0.0
Clean,W8A32,AT1,1.3545335454940797,0,0.0
Clean,W8A32,AT2,1.3578400443792342,0,0.0
Clean,W8A32,AT3,1.375160821557045,0,0.0
Clean,W8A32,AT4,1.8538082981109618,0,0.0
Clean,W8A32,AT5,1.851653373479843,0,0.0
Clean,W8A32,CT1,0.60024499553442,0,0.0
Clean,W8A32,CT2,0.5993090004920959,0,0.0
Clean,W8A32,CT3,0.5554712987542152,0,0.0
Clean,W8A32,CT4,0.569979820355773,0,0.0
Clean,W8A32,CT5,0.5933874213397503,0,0.0
Clean,W8A32,legacy_white,0.7952476518154145,0,0.0
Clean,W8A8_clean,AT1,0.9667655445933342,0,0.0
Clean,W8A8_clean,AT2,1.0373525585532188,0,0.0
Clean,W8A8_clean,AT3,1.0348754024505615,0,0.0
Clean,W8A8_clean,AT4,1.2276529838442802,0,0.0
Clean,W8A8_clean,AT5,1.2276529838442802,0,0.0
Clean,W8A8_clean,CT1,0.603954064399004,0,0.0
Clean,W8A8_clean,CT2,0.6024352360963822,0,0.0
Clean,W8A8_clean,CT3,0.5584682496935129,0,0.0
Clean,W8A8_clean,CT4,0.5730406248271466,0,0.0
Clean,W8A8_clean,CT5,0.5970062249898911,0,0.0
Clean,W8A8_clean,legacy_white,0.7990473720729351,0,0.0
Clean,W8A8_mixed,AT1,0.9722405172586441,0,0.0
Clean,W8A8_mixed,AT2,1.0420327466130257,0,0.0
Clean,W8A8_mixed,AT3,1.0396872384548188,0,0.0
Clean,W8A8_mixed,AT4,1.2324516738057136,0,0.0
Clean,W8A8_mixed,AT5,1.2324516738057136,0,0.0
Clean,W8A8_mixed,CT1,0.6086419310420752,0,0.0
Clean,W8A8_mixed,CT2,0.6072659618854522,0,0.0
Clean,W8A8_mixed,CT3,0.5629125864356757,0,0.0
Clean,W8A8_mixed,CT4,0.5775840118527412,0,0.0
Clean,W8A8_mixed,CT5,0.601842502772808,0,0.0
Clean,W8A8_mixed,legacy_white,0.8034043284356595,0,0.0
AT1,FP32,AT1,0.002509133792947978,1000,100.0
AT1,FP32,AT2,0.043119625605642795,1000,100.0
AT1,FP32,AT3,0.44640980634093286,0,0.0
AT1,FP32,AT4,1.8007520980834961,0,0.0
AT1,FP32,AT5,1.8611377329826355,0,0.0
AT1,FP32,CT1,0.598228106290102,0,0.0
AT1,FP32,CT2,0.5965897109508514,0,0.0
